date,price,total_volume,market_cap,coin_name
1/1/2015,313.992,46999364.09,4293958347,bitcoin
1/2/2015,314.446,38855906.3,4301448335,bitcoin
1/3/2015,286.572,118778941.4,3921358112,bitcoin
1/4/2015,260.936,205500149,3571639781,bitcoin
1/5/2015,273.22,155038125.5,3740880427,bitcoin
1/6/2015,285.3738,97002895.98,3908408221,bitcoin
1/7/2015,295.8725,110674233,4053238742,bitcoin
1/8/2015,284.4525,86570544.47,3897824162,bitcoin
1/9/2015,289.5738,83478400.28,3968992614,bitcoin
1/10/2015,274.533,92683835.63,3763909200,bitcoin
1/11/2015,267.184,73256737.91,3664201454,bitcoin
1/12/2015,268.3536677,78982214.89,3681154854,bitcoin
1/13/2015,221.436,215752219.9,3038251389,bitcoin
1/14/2015,172.1479,236006920.8,2362639550,bitcoin
1/15/2015,210.5559,257637517.3,2890521923,bitcoin
1/16/2015,205.816,176217465.5,2826188131,bitcoin
1/17/2015,199.4914,106431481.1,2740019366,bitcoin
1/18/2015,208.9892,118664232.7,2871292169,bitcoin
1/19/2015,214.545,105545327.3,2948379299,bitcoin
1/20/2015,210.5137,94312137.94,2893626589,bitcoin
1/21/2015,224.0451,99166469.2,3080429687,bitcoin
1/22/2015,232.0423,151229886.4,3191202338,bitcoin
1/23/2015,232.898,126038219.2,3203686664,bitcoin
1/24/2015,248.096,134933345.1,3413521852,bitcoin
1/25/2015,253.8389,142426844.9,3493324596,bitcoin
1/26/2015,271.2882,401755946.5,3734336331,bitcoin
1/27/2015,259.2356,339951744.7,3568728002,bitcoin
1/29/2015,232.5329422,161971565.5,3203612158,bitcoin
1/30/2015,228.6354,105832532.6,3150704414,bitcoin
1/31/2015,218.0233,92459195.63,3005342179,bitcoin
2/1/2015,226.2697,100844154.3,3119897131,bitcoin
2/2/2015,240.0193,108043831.2,3310466195,bitcoin
2/3/2015,226.0119,135790231.9,3117998019,bitcoin
2/4/2015,225.3083,83155505.16,3109175682,bitcoin
2/5/2015,216.9136,74142168.01,2994172300,bitcoin
2/6/2015,222.4872,88164946.84,3072075447,bitcoin
2/7/2015,227.2051,80694160.19,3138151161,bitcoin
2/8/2015,222.9061,76979240.31,3079497925,bitcoin
2/9/2015,220.0922,79154588.47,3041547651,bitcoin
2/10/2015,220.6493,66708973.92,3049996660,bitcoin
2/11/2015,219.0956,65150873.75,3029418429,bitcoin
2/12/2015,222.0401588,51632481.44,3070809845,bitcoin
2/13/2015,235.6774,137045816.2,3260249205,bitcoin
2/14/2015,259.0086,165435433.7,3584044453,bitcoin
2/15/2015,232.9962,199965387.7,3224923704,bitcoin
2/16/2015,235.9199,128976205,3266299220,bitcoin
2/17/2015,242.4568,121468767.5,3357729670,bitcoin
2/18/2015,234.6238,88821471.78,3250184845,bitcoin
2/19/2015,240.2988,71396084.82,3329826479,bitcoin
2/20/2015,244.0821,80482172.1,3383185376,bitcoin
2/21/2015,244.1459,64143296.2,3384954727,bitcoin
2/22/2015,235.553,74180476.07,3266702003,bitcoin
2/23/2015,238.1319,61755698.93,3303312137,bitcoin
2/24/2015,238.7314,58732103.48,3312404143,bitcoin
2/25/2015,237.378,57584610.06,3294575196,bitcoin
2/26/2015,236.1711558,44991044.51,3278687400,bitcoin
2/27/2015,253.8991,137186494.7,3525782547,bitcoin
2/28/2015,253.5991,85884430.31,3522504179,bitcoin
3/1/2015,257.7075,58106060.44,3580465594,bitcoin
3/2/2015,269.9615,93658288.67,3751796695,bitcoin
3/3/2015,280.6242,128754965.9,3901083285,bitcoin
3/4/2015,273.0193,119553920,3796353843,bitcoin
3/5/2015,274.8255,98543018.35,3822334890,bitcoin
3/6/2015,272.3413,74704492.04,3788784931,bitcoin
3/7/2015,275.5846387,50059694.68,3834877371,bitcoin
3/8/2015,274.578,45050575.23,3821054906,bitcoin
3/9/2015,289.2957,111062141.1,4027806172,bitcoin
3/10/2015,290.3057,129285347.5,4043022165,bitcoin
3/11/2015,295.961,73794326.12,4122115212,bitcoin
3/12/2015,293.9203,65277495.59,4095470764,bitcoin
3/13/2015,288.0365,67739327.35,4014523121,bitcoin
3/14/2015,281.4887,63244191.83,3924198781,bitcoin
3/15/2015,285.2645,32203956.62,3977863689,bitcoin
3/16/2015,290.0955,60818266.22,4046186763,bitcoin
3/17/2015,284.3491,50540130.75,3967004055,bitcoin
3/18/2015,255.6062,123648767.8,3566978131,bitcoin
3/19/2015,260.0037,133194355.1,3629235646,bitcoin
3/20/2015,260.9075,59404464.5,3642718765,bitcoin
3/21/2015,259.4899,54148215.13,3623906198,bitcoin
3/22/2015,267.7981,51503307.07,3740905134,bitcoin
3/23/2015,266.0272,73040649.64,3717118257,bitcoin
3/24/2015,245.1679,153991184.3,3426730126,bitcoin
3/25/2015,246.2715,175875957.6,3443109528,bitcoin
3/26/2015,247.5595,148675593.3,3462026773,bitcoin
3/27/2015,247.1476,90325941.06,3457360134,bitcoin
3/28/2015,252.0497,82125758.56,3526137496,bitcoin
3/29/2015,241.9137,84472855.79,3384336376,bitcoin
3/30/2015,246.5418,96641741.12,3449082801,bitcoin
3/31/2015,243.2692,76545513.49,3403299618,bitcoin
4/1/2015,246.7755,78230800.05,3456621445,bitcoin
4/2/2015,252.341,95206093.36,3535619145,bitcoin
4/3/2015,253.6227,94243302.29,3554522140,bitcoin
4/4/2015,253.3213,63959131.2,3551247974,bitcoin
4/5/2015,259.7118,82969308.75,3641795730,bitcoin
4/6/2015,255.4233,83832524.04,3582471422,bitcoin
4/7/2015,253.2085,88508043.43,3551882234,bitcoin
4/8/2015,244.2709,106548662.3,3427768045,bitcoin
4/9/2015,243.2006549,93749435.17,3413570472,bitcoin
4/10/2015,234.5253,110710603.1,3292518276,bitcoin
4/11/2015,236.4501,87634999.72,3319540688,bitcoin
4/12/2015,235.7386,62271722.26,3309551886,bitcoin
4/13/2015,223.9464,87796699.15,3146530900,bitcoin
4/14/2015,217.9995,109539415.1,3063792223,bitcoin
4/15/2015,223.0161,71588917.36,3134965195,bitcoin
4/16/2015,227.9995,88471192.54,3205775570,bitcoin
4/17/2015,222.4171383,101386584.1,3127985666,bitcoin
4/18/2015,222.9537,70165374.02,3136367732,bitcoin
4/19/2015,222.6812,58633108.41,3133241392,bitcoin
4/20/2015,224.3086,63561423.22,3157115506,bitcoin
4/21/2015,234.6867,80763824.95,3304071909,bitcoin
4/22/2015,233.7807,72515582.87,3292205019,bitcoin
4/23/2015,235.1735,55130032.4,3312571610,bitcoin
4/24/2015,230.9863,73282646.19,3254290910,bitcoin
4/25/2015,225.9568,58830426.89,3184369640,bitcoin
4/26/2015,218.5065,96999963.63,3080176877,bitcoin
4/27/2015,228.5712,95409417.49,3222813920,bitcoin
4/28/2015,225.6423,71643965.12,3182408230,bitcoin
4/29/2015,225.9978,56781693.78,3188139665,bitcoin
4/30/2015,236.2208,103785827.3,3333116827,bitcoin
5/1/2015,232.7403,74708330.71,3284896594,bitcoin
5/2/2015,235.1563,61431426.39,3319854339,bitcoin
5/3/2015,239.882,86630763.25,3387421698,bitcoin
